name,place_id,location,neighborhood,lat,lng,website,google_maps_url,rating,rating_count,categories_google,categories_verified,categories_source,verification_status,verification_confidence,types,scan_errors
Yoga by Gopiji Ram,ChIJtc1NkroXLxgRVhctXrPkAAY,"Mwanzi Rd, Nairobi, Kenya",,-1.2560928,36.8016057,https://www.linkedin.com/in/gopiji-ram-6985a079,https://maps.google.com/?cid=432597023257859926,5,(1),yoga,yoga,fallback_original,rejected,0.25,establishment; point_of_interest,[object Object]
Yoga fitness center,ChIJxZm4yFMbLxgRKrPcFprQe9o,"Bloomfield apartment, Muringa Rd, Nairobi, Kenya",,-1.2959778,36.7778135,https://www.healingclinictherapycentre.com/,https://maps.google.com/?cid=15743406282630804266,,,yoga,yoga,fallback_original,rejected,0.25,establishment; point_of_interest,[object Object]
Yogue Body & Mind,ChIJK6x07BQTQBgRvHyJeObNtQU,"9th Floor, Sea View, Opposite Jumeirah Beachfront, First Tower Nyandarua Rd, Mombasa, Kenya",,-4.0397911,39.7132606,https://www.getyogue.com/,https://maps.google.com/?cid=411461330722716860,5,(3),yoga,yoga,fallback_original,rejected,0.25,establishment; gym; health; point_of_interest,[object Object]
Master Benjamin M Joseph,ChIJWeXFYGURLxgRS3ejAsTB0JM,"Koinange St, Nairobi, Kenya",,-1.2836757,36.8185948,http://masterbenjaminkicker.www.co.ke/,https://maps.google.com/?cid=10651226166333241163,,,martial-arts,martial-arts,fallback_original,rejected,0.25,establishment; health; point_of_interest,[object Object]
Karate by Lucas wanyama,ChIJAauhI9MXLxgRs-3LsmkyIq4,"Mathare, Ruiru, Kenya",Mathare,-1.265672,36.8583732,https://www.karatebylucaswanyama.com/,https://maps.google.com/?cid=12547646941360287155,,,martial-arts,martial-arts,fallback_original,rejected,0.25,establishment; health; point_of_interest,[object Object]
Kick Fitness Gym (Eastern Bypass - Kamakis),ChIJMXHvrKdBLxgR4Jc7J52vKm8,"Kamakis at Total petrol station opposite Greenspot, Ruiru Bypass, Kenya",,-1.168851,36.96699330000001,https://www.kickfitnessgym.com/,https://maps.google.com/?cid=8010407976734791648,4.4,(13),martial-arts,martial-arts,fallback_original,rejected,0.25,establishment; gym; health; point_of_interest,[object Object]
Impact Chef and Hospitality Academy,ChIJpxR_8rkRLxgRP4Hyl1YQvN4,"Impact Chefs & Hospitality Academy, South Gate Center, Mukoma Rd, Nairobi, Kenya",,-1.3109135,36.8359566,https://www.google.com/url?sa=t&source=web&rct=j&url=https://impactchefsacademy.com/&ved=2ahUKEwj74Yf2vsD1AhU08uAKHVqQBK4QFnoECCkQAQ&usg=AOvVaw3rbooLGoebwKSiR0nTLAAU,https://maps.google.com/?cid=16049721136144089407,4.9,(83),low-impact-training,low-impact-training,fallback_original,rejected,0.25,establishment; point_of_interest; university,
Mind Ninjas EQ,ChIJsxW3ksEXLxgRwKOPEBcm6oE,"My School (Montessori) LTD, Westlands, Lower Kabete Road, Opposite Sarit Centre, Nairobi, Kenya",Westlands,-1.2592807,36.8027813,https://www.udemy.com/course/my-feelings-course-for-4-7-year-olds/?couponCode=MINDNINJAS,https://maps.google.com/?cid=9361336655946949568,5,(10),low-impact-training,low-impact-training,fallback_original,rejected,0.25,establishment; point_of_interest,[object Object]
Sparkling taekwondo sport,ChIJI8QMrPIfLxgReN2__cnfVpQ,"Rungiri, Kenya",,-1.2471951,36.6790986,https://sparklingtaekwondo.com/,https://maps.google.com/?cid=10688976824249081208,5,(3),martial-arts,martial-arts,fallback_original,rejected,0.25,establishment; point_of_interest,[object Object]
Art - Home,ChIJOzUD2BsRLxgRXiKDVYzkKzo,"No. 2064, Machakos, Machakos Rd, Nairobi City, Kenya",,-1.2990294,36.8324688,http://arthomekenya.kbo.co.ke/home,https://maps.google.com/?cid=4191695169579590238,4,(1),martial-arts,martial-arts,fallback_original,rejected,0.25,establishment; health; point_of_interest; store,[object Object]
Edu 360~ AI in Learning,ChIJj2LD4w0RLxgRzZ4m1eUnxLw,"141, Nairobi, Kenya",,-1.3009949,36.7848706,https://assessment.peardeck.com/login,https://maps.google.com/?cid=13602040642642812621,,,martial-arts,martial-arts,fallback_original,rejected,0.25,establishment; health; point_of_interest,
SelfDefense Kenya Pepperspray Taser security,ChIJHbvc3nYRLxgRQnhAtMAOzj8,"3rd Floor Store C6, Sasa Mall, Along Moi Ave, Nairobi, Kenya",,-1.2856577,36.8253574,https://linktr.ee/SelfDefenseKenya_Pepperspray,https://maps.google.com/?cid=4597628490412488770,,,martial-arts,martial-arts,fallback_original,rejected,0,establishment; health; local_government_office; point_of_interest,
Magnificent Outdoors,ChIJ75Qd_TMRLxgRULM6NHmNFrY,"St. Ellis House, 6th floor. City Hall Way, Wabera St, Nairobi, Kenya",,-1.2864906,36.8228521,https://magnificentoutdoors.com/,https://maps.google.com/?cid=13120830116097340240,4.9,(58),outdoors,outdoors,fallback_original,rejected,0.25,clothing_store; establishment; point_of_interest; store,[object Object]
El'barbera Outdoor Stores,ChIJtbisWeIbLxgRSgM7jUxnZ5A,"Langiri Rd, Nairobi, Kenya",,-1.3024373,36.7792677,https://wa.me/c/254798575015,https://maps.google.com/?cid=10405399042547450698,4.9,(45),outdoors,outdoors,fallback_original,rejected,0.25,clothing_store; establishment; point_of_interest; store,
Hiking Outdoor Gear Hub,ChIJ74JZV3o_LxgRx8K5TRLNIUA,"3rd Floor, Room No., D39, Mountain Mall, Thika Rd, Nairobi, Kenya",,-1.2328502,36.8737872,http://www.hikingoutdoorhub.com/,https://maps.google.com/?cid=4621200171155964615,4.9,(36),outdoors,outdoors,fallback_original,rejected,0.25,clothing_store; establishment; point_of_interest; store,[object Object]
Swatprime Outdoors,ChIJX0QKmPkRLxgRv1GRl4dYeD4,"Old Nation House, Tom Mboya St, Nairobi, Kenya",,-1.281906,36.8225822,https://wa.me/c/254706406576,https://maps.google.com/?cid=4501445166943523263,5,(2),outdoors,outdoors,fallback_original,rejected,0.25,establishment; point_of_interest; store,
Husky Outdoor Equipment Ltd - KE,ChIJ504BBkgXLxgROrMoIjWWGO8,"38 Lusaka Rd, Nairobi, Kenya",,-1.3005588,36.8359764,http://www.huskyafrica.com/,https://maps.google.com/?cid=17228685529456358202,4.7,(12),outdoors,outdoors,fallback_original,rejected,0.25,establishment; point_of_interest,
Outdoor Furniture Kenya,ChIJqxURSNoXLxgRrkw5wXKc8V4,"Kay Godowns B11, Mombasa Road, Nairobi, Kenya",,-1.3376945,36.8939931,https://outdoorfurniturekenya.com/,https://maps.google.com/?cid=6841421325634456750,4.4,(7),outdoors,outdoors,fallback_original,rejected,0.25,establishment; furniture_store; home_goods_store; point_of_interest; store,[object Object]
Nairobi Kids Trampolines Outdoor & Indoor Children's Trampolines,ChIJJb0BjMwXLxgRlHN2NIBHGgI,"Opposite Maendeleo, View Park Towers, Nairobi, Kenya",,-1.2827827,36.8162262,https://www.kidstrampolines.co.ke/,https://maps.google.com/?cid=151512153431896980,5,(9),outdoors; trampoline,trampoline,website_extracted,rejected,0.25,establishment; point_of_interest; store,
Outdoor Yard Kenya,ChIJZ39OAgATLxgRmtE0TT3LTBM,"Mombasa Road, Nairobi, Kenya",,-1.3387051,36.8924314,https://outdooryardkenya.com/,https://maps.google.com/?cid=1390709849099391386,,,outdoors,outdoors,fallback_original,rejected,0,establishment; point_of_interest,
Nubian OUTDOOR,ChIJJxzsqzsRLxgRxinNkb4YtHU,"Muindi mbingu street opp jivanjee gardens, Nairobi, Kenya",,-1.2817265,36.818865,https://www.jumia.co.ke/bush-life-equipments/,https://maps.google.com/?cid=8481431205014481350,,,outdoors,outdoors,fallback_original,rejected,0.25,establishment; point_of_interest,
Vitendi Ltd - Window Blinds & Outdoor Furniture,ChIJSf_ZpW4XLxgRsX8_wECK5eM,"2nd Floor 62, INSPOHUB Building, 62 Muthithi Rd, Nairobi, Kenya",,-1.2689705,36.8097205,http://www.vitendi.co.ke/,https://maps.google.com/?cid=16421683626984308657,4.6,(40),outdoors,outdoors,fallback_original,rejected,0.25,establishment; furniture_store; home_goods_store; point_of_interest; store,
MINT Kenya,ChIJ23-EFYgZLxgRIhbLthjeBBE,"101 Manyani E Rd, Nairobi, Kenya",,-1.2607549,36.7753915,https://www.instagram.com/mint.kenya,https://maps.google.com/?cid=1226349196278961698,4.9,(20),outdoors,outdoors,fallback_original,rejected,0.25,establishment; gym; health; point_of_interest,
Amuse Kenya,ChIJ8U4QylXBdKcRaNjICSi2Lqs,"Thigiri Ln, Nairobi, Kenya",,-1.2408053,36.7954804,https://amusekenya.co.ke/,https://maps.google.com/?cid=12334996712493471848,4.6,(19),outdoors,outdoors,fallback_original,rejected,0.25,establishment; point_of_interest,
LIZAYA TRAINING INSTITUTE,ChIJ3UoYPOIRLxgRPAwbfw4lIxc,"Stanbank House, 2ND FLOOR Moi Ave, Nairobi, Kenya",,-1.2843813,36.8256156,https://lizaya.ac.ke/,https://maps.google.com/?cid=1667217031249464380,4.9,(90),outdoors,outdoors,fallback_original,rejected,0.25,beauty_salon; establishment; health; point_of_interest; school; spa,
Cliffitness (personal trainer),ChIJu76mHzMVLxgRZCfXpivt6vo,"indoor arena, Nairobi, Kenya",,-1.2254,36.897637,https://forms.gle/Jf8mkp4KWeh76b4p7,https://maps.google.com/?cid=18080524425770772324,5,(7),personal-training,personal-training,fallback_original,rejected,0.25,establishment; health; point_of_interest,
MAASAIFIT - Personal Training | Sports Therapy,ChIJwxewwqMQLxgRB36KLO7wAVI,"Harmony Centre, 43, General Mathenge Drive, Nairobi, Kenya",,-1.2528708,36.7962136,http://maasaifit.com/,https://maps.google.com/?cid=5909269091826957831,5,(12),personal-training,personal-training,fallback_original,rejected,0.25,establishment; gym; health; point_of_interest,[object Object]
MARKSILA254,ChIJd87JKg8RLxgR3bRHOTDZd2w,"Nairobi, Kenya",,-1.3020221,36.7842124,https://marksila254.com/,https://maps.google.com/?cid=7815954479467443421,5,(3),personal-training,personal-training,fallback_original,rejected,0.25,establishment; gym; health; point_of_interest; school,[object Object]
Personal trainer Prince Arakaki,ChIJo_KwGnUZLxgR5MhHAlMFDQ8,"Lavington, Nairobi, Kenya",Lavington,-1.278937,36.7777984,https://www.instagram.com/p/CE0zKOrjcrU/?utm_medium=copy_link,https://maps.google.com/?cid=1084528939344840932,,,personal-training,personal-training,fallback_original,rejected,0.25,establishment; health; point_of_interest,
Pawami Health,ChIJ207vdBx_UYwRFINRC7MuvZA,"3099, Nairobi, Kenya",,-1.2962128,36.8089066,https://www.pawamihealth.co.ke/,https://maps.google.com/?cid=10429543658583851796,5,(2),prenatal-postnatal,prenatal-postnatal,fallback_original,rejected,0.25,establishment; health; point_of_interest,
Maggie's Pregnancy & Postpartum Spa,ChIJ8e4X0p4bLxgR959AIrIlrHQ,"31 Retail collective, Ngong Rd, Nairobi, Kenya",Ngong,-1.3211263,36.7094482,https://maggiespregnancyspa.co.ke/,https://maps.google.com/?cid=8407136051402940407,5,(14),prenatal-postnatal,prenatal-postnatal,fallback_original,rejected,0.25,establishment; point_of_interest; spa,
Esther Kimani (Doula and Lactation Manager),ChIJQQi2l-YZLxgRMoiPMc-rDvE,"PQ59+PM6, Nairobi, Kenya",,-1.2907233,36.7691471,https://www.linkedin.com/in/esther-kimani-6bb87135,https://maps.google.com/?cid=17370009719192651826,5,(3),prenatal-postnatal,prenatal-postnatal,fallback_original,rejected,0.25,establishment; health; point_of_interest,[object Object]
Binticare Maternity Consultancy,ChIJrSJb-yAXLxgRy-NCvNnD8y8,"Woodvale Cl, Nairobi, Kenya",,-1.2604942,36.8032693,http://www.binticarematernity.co.ke/,https://maps.google.com/?cid=3455320679057122251,5,(3),prenatal-postnatal,prenatal-postnatal,fallback_original,rejected,0.125,doctor; establishment; health; point_of_interest,
Pumwani Maternity Hospital,ChIJJ1hbnDURLxgReouswtoxn54,"Pumwani, Nairobi, Kenya",,-1.2806642,36.8454773,https://nairobi.go.ke/pumwani-maternity-hospital,https://maps.google.com/?cid=11429909194928327546,3.8,(135),prenatal-postnatal,prenatal-postnatal,fallback_original,rejected,0.25,establishment; health; hospital; point_of_interest,[object Object]
Dr. Wanjiku Ndung’u-Gynaecologist Oakleigh Healthcare Services.,ChIJ91Uw1aIRLxgRLNGAuEJ40cY,"5th avenue office suites ,6th floor 6-7, Nairobi, Kenya",,-1.2958687,36.8081403,http://www.oakleighgynaecology.co.ke/,https://maps.google.com/?cid=14326364117600882988,4.9,(56),prenatal-postnatal,prenatal-postnatal,fallback_original,rejected,0,doctor; establishment; health; point_of_interest,
Trusted Touch Nursing Home Services(Newborn Agency),ChIJo5MZWq4dLxgRqY6aheq6Sp0,"PM7P+WV, Nairobi, Kenya",,-1.2851875,36.6871875,https://trustedtouchnursing.co.ke/,https://maps.google.com/?cid=11334076928657886889,5,(10),prenatal-postnatal,prenatal-postnatal,fallback_original,rejected,0.125,establishment; health; point_of_interest,
Still A Mum,ChIJSbQgRQsbLxgRn-pgMbVJP7o,"Branton Court, Ndemi Lane, Ngong Nairobi KE, Road, Kenya",Ngong,-1.3007863,36.7776043,http://www.stillamum.com/,https://maps.google.com/?cid=13420526457153710751,5,(2),prenatal-postnatal,prenatal-postnatal,fallback_original,rejected,0.25,establishment; point_of_interest,[object Object]
The Nairobi Hospital,ChIJUyvTVZUQLxgR8HXGloXtL3Q,"Argwings Kodhek Rd, Nairobi, Kenya",,-1.2953674,36.8039183,http://thenairobihosp.org/,https://maps.google.com/?cid=8372171390321063408,3.3,(547),prenatal-postnatal,prenatal-postnatal,fallback_original,rejected,0,establishment; health; hospital; point_of_interest,
Huruma Hospital Mathare North Annex,ChIJ2U6c4psVLxgRh49lUgrXl0k,"72934, Raila Odinga Rd, Nairobi, Kenya",,-1.2491945,36.874495,https://www.hurumahospitalmathare.org/,https://maps.google.com/?cid=5302943525584080775,5,(6),prenatal-postnatal,prenatal-postnatal,fallback_original,rejected,0.25,establishment; health; hospital; point_of_interest,
Tash Baby Shop,ChIJv1qosqQXLxgRJd8x16snT3k,"45 Westlands Rd, Nairobi, Kenya",Westlands,-1.2701464,36.8095036,https://tashbabystore.co.ke/,https://maps.google.com/?cid=8741249020752682789,3.9,(31),prenatal-postnatal,prenatal-postnatal,fallback_original,rejected,0.25,clothing_store; establishment; point_of_interest; store,[object Object]
NILA BABY SHOP NAIROBI UTAWALA,ChIJ5T0hyQltLxgRfY4UGhitTjI,"EMBAKASI, Nairobi, Kenya",Embakasi,-1.2917075,36.9463037,https://www.nilababyshop.com/,https://maps.google.com/?cid=3625025069108203133,4.6,(711),prenatal-postnatal,prenatal-postnatal,fallback_original,rejected,0.25,clothing_store; establishment; point_of_interest; store,
Usawa Reproductive Health Center,ChIJ6XhfOg0dLxgR9O_8r0W9EFM,"Nairobi, Kenya",,-1.3376074,36.6776298,https://usawareproductive.org/,https://maps.google.com/?cid=5985492011778371572,5,(5),prenatal-postnatal,prenatal-postnatal,fallback_original,rejected,0.25,establishment; health; point_of_interest,[object Object]
Park Ville Medical Center - Parklands,ChIJCbQKev0XLxgRrF1L2WSLLO8,"House 62, Nairobi, Kenya",,-1.2600822,36.8285805,https://www.parkvillemedical.org/,https://maps.google.com/?cid=17234303139298631084,5,(8),prenatal-postnatal,prenatal-postnatal,fallback_original,rejected,0.125,establishment; health; hospital; point_of_interest,
Gertrude's Children's Hospital - Nairobi West Medical Centre,ChIJM8BFs_4QLxgR88JgzY6U9m4,"T-Mall, Nairobi, Kenya",,-1.3122375,36.8170089,https://www.gerties.org/branches/embakasi-clinic-embakasi/,https://maps.google.com/?cid=7995741529494831859,3.3,(51),prenatal-postnatal,prenatal-postnatal,fallback_original,rejected,0.25,establishment; health; hospital; point_of_interest,[object Object]
BARIKA MEDICAL CENTRE 成功医疗,ChIJt1IxLR8RLxgR22NEfTVdJc8,"HURLINGHAM ROSE AVENUE, OPPOSITE WARIDI PARADISE HOTEL NAIROBI, HURLINGHAM NAIROBI, Kenya",Hurlingham,-1.2947598,36.7954552,http://www.barikamedicalcentre.com/,https://maps.google.com/?cid=14926439024305660891,4.2,(133),prenatal-postnatal,prenatal-postnatal,fallback_original,rejected,0.125,establishment; health; hospital; point_of_interest,
Dignified Caregivers Kenya,ChIJ5218pFwXLxgRw2ZR_D-Sh14,"8th floor Rm, Cianda House, 803 Koinange St, Nairobi, Kenya",,-1.2832194,36.8180253,http://www.dcti.co.ke/,https://maps.google.com/?cid=6811573764934952643,5,(18),prenatal-postnatal,prenatal-postnatal,fallback_original,rejected,0.25,establishment; health; point_of_interest,[object Object]
Cana Hospital Super-specialty,ChIJRWjP_NwHLxgRlme1vPuhW_k,"Magadi road, Rimpa Rd, Kenya",,-1.4211217,36.7060764,http://www.canahospital.co.ke/,https://maps.google.com/?cid=17968133240899594134,4.1,(90),prenatal-postnatal,prenatal-postnatal,fallback_original,rejected,0.25,establishment; health; hospital; point_of_interest,[object Object]
Keliam Kids Babyshop Kilimani Nairobi,ChIJVVgb6nsRLxgRlVd92eOce5E,"Wood Ave, Nairobi, Kenya",,-1.2923509,36.7859642,http://www.keliamkids.com/,https://maps.google.com/?cid=10483145060055340949,4.9,(7),prenatal-postnatal,prenatal-postnatal,fallback_original,rejected,0,clothing_store; establishment; point_of_interest; store,
Nairobi Florist Fresh Flowers,ChIJb91IONIQLxgRLFwdHoyvLyw,"View Park Towers, Kenya Box 64086 Utalii St, Nairobi, Kenya",,-1.2827827,36.8162262,https://www.nairobiflorist.co.ke/,https://maps.google.com/?cid=3183956477909752876,4.9,(399),prenatal-postnatal,prenatal-postnatal,fallback_original,rejected,0.25,establishment; florist; point_of_interest; store,[object Object]
Access Afya Clinic - Kwa Ruben,ChIJbQNRq9cRLxgRcpipqV7ErTw,"Unnamed Road, Nairobi, Kenya",,-1.318641,36.8729167,http://www.accessafya.com/,https://maps.google.com/?cid=4372366724099053682,5,(3),prenatal-postnatal,prenatal-postnatal,fallback_original,rejected,0,establishment; health; hospital; point_of_interest,
Louella Maternity Collection,ChIJl0J1g3UMokoR1TtmJmOyXXY,"Digital Shopping Mall Shop, F10 Moi Ave, Nairobi, Kenya",,-1.2829496,36.8227619,http://www.louella.co.ke/,https://maps.google.com/?cid=8529169408225328085,5,(39),prenatal-postnatal,prenatal-postnatal,fallback_original,rejected,0.25,clothing_store; establishment; point_of_interest; store,[object Object]
Breejoz Babyshop & Maternity Collections,ChIJPUyXt_8RLxgRJp5Ly9yPh2U,"Star Mall, Tom Mboya St, Nairobi, Kenya",,-1.2825334,36.8235041,https://www.breejozbabyshop.co.ke/,https://maps.google.com/?cid=7315974298152967718,5,(3),prenatal-postnatal,prenatal-postnatal,fallback_original,rejected,0.25,clothing_store; establishment; point_of_interest; store,[object Object]
Benchmark Maternity Wear,ChIJM7udKSURLxgRQv9BIRQpqho,"Biashara St, Nairobi, Kenya",,-1.283099,36.8185482,http://www.bumpmaternitywear.co.ke/,https://maps.google.com/?cid=1921393357460995906,,,prenatal-postnatal,prenatal-postnatal,fallback_original,rejected,0.25,clothing_store; establishment; point_of_interest; store,[object Object]
BfSuma Health and Wellness Hub,ChIJCWnacDMRLxgR4OXPXNOtfbg,"Taifa road, Nairobi, Kenya",,-1.2875122,36.8243406,https://wa.me/message/RBAC5OXXWJLQA1,https://maps.google.com/?cid=13293972798374405600,5,(51),prenatal-postnatal,prenatal-postnatal,fallback_original,rejected,0.25,establishment; health; point_of_interest; store,
Femme Posh Collection,ChIJ50FpsNcQLxgRw_43CcbWaK4,"Jubilee Insurance Exchange, Mama Ngina St, Nairobi, Kenya",,-1.2855356,36.8232833,https://femmeposhcollection.com/,https://maps.google.com/?cid=12567530906223902403,4.1,(120),prenatal-postnatal,prenatal-postnatal,fallback_original,rejected,0.25,clothing_store; establishment; point_of_interest; store,[object Object]
Coptic Hospital-Main Hospital,ChIJsVn17DARLxgRoQqCs7OD094,"Ngong Rd, Nairobi, Kenya",Ngong,-1.29763,36.7976097,http://coptichospitals.com/,https://maps.google.com/?cid=16056321904339978913,3.1,(818),prenatal-postnatal,prenatal-postnatal,fallback_original,rejected,0,establishment; health; hospital; point_of_interest,
"The Nairobi Women's Hospital, Mombasa Branch",ChIJtW_RpzITQBgRW_F-eAXPIrM,"Moi Ave, Mombasa, Kenya",,-4.061107199999999,39.663083,http://www.nwh.co.ke/,https://maps.google.com/?cid=12908107104400634203,4.4,(35),prenatal-postnatal,prenatal-postnatal,fallback_original,rejected,0.125,establishment; health; hospital; point_of_interest,
Nairobi IVF Centre,ChIJOWY5OsAQLxgRLiUAOG2v6RA,"Landmark Plaza, Argwings Kodhek Rd, Nairobi, Kenya",,-1.2947749,36.8054,https://nairobiivf.com/,https://maps.google.com/?cid=1218698057806259502,3.4,(59),prenatal-postnatal,prenatal-postnatal,fallback_original,rejected,0.125,establishment; health; point_of_interest,
Meridian Equator Hospital,ChIJN28GJ3ARLxgRaWBiXCKP2Rc,"Bukani Rd, Nairobi, Kenya",,-1.3078028,36.8243208,http://www.mhg.co.ke/,https://maps.google.com/?cid=1718562110560165993,3.6,(79),prenatal-postnatal,prenatal-postnatal,fallback_original,rejected,0.25,establishment; health; hospital; point_of_interest,
House of Leather & Gifts - NHC,ChIJ1Wkc00EXLxgRQYnZxROUKpI,"Aga Khan Walk, Nairobi, Kenya",,-1.2886428,36.8262218,http://www.houseofleatherkenya.co.ke/,https://maps.google.com/?cid=10532393491203983681,4.2,(2872),prenatal-postnatal,prenatal-postnatal,fallback_original,rejected,0.25,establishment; home_goods_store; point_of_interest; store,[object Object]
Goodlife Pharmacy Kenyatta Avenue,ChIJAwHo2dAQLxgRDZp5Ec8i9FE,"Kenyatta Ave, Nairobi, Kenya",,-1.2853715,36.8190588,http://www.goodlife.co.ke/,https://maps.google.com/?cid=5905383284136319501,3.6,(24),prenatal-postnatal,prenatal-postnatal,fallback_original,rejected,0.25,establishment; health; pharmacy; point_of_interest; store,[object Object]
Goodlife Pharmacy City Square,ChIJZVXK7CcRLxgRFH-8AoD472Q,"Harambee Ave, Nairobi, Kenya",,-1.2882571,36.8261507,http://www.goodlife.co.ke/,https://maps.google.com/?cid=7273305151912050452,4.3,(7),prenatal-postnatal,prenatal-postnatal,fallback_original,rejected,0.25,establishment; health; pharmacy; point_of_interest; store,[object Object]
The Nairobi Hospital Anderson Medical Center,ChIJvRN3luoQLxgRMKyJJ0gkOZA,"00100, Argwings Kodhek Road 1st floor, Anderson Centre P O 30026, Nairobi, Kenya",,-1.2965748,36.8044024,https://thenairobihosp.org/clinical-services/anderson-specialty-clinics,https://maps.google.com/?cid=10392377507453709360,3.7,(51),prenatal-postnatal,prenatal-postnatal,fallback_original,rejected,0,doctor; drugstore; establishment; health; hospital; pharmacy; point_of_interest; store,
The Nairobi Hospital Convention Centre,ChIJwTRplHgRLxgRNycRYlsBMqU,"Argwings Kodhek Rd, Nairobi, Kenya",,-1.2971017,36.8041304,https://thenairobihosp.org/other-services/convention-centre,https://maps.google.com/?cid=11903578257092585271,4.6,(389),prenatal-postnatal,prenatal-postnatal,fallback_original,rejected,0,establishment; point_of_interest,
Gender Based Violence Recovery Centre,ChIJ5bfiWewQLxgRFuhE93Rdqqo,"Gatina Nairobi, Argwings Kodhek Rd, North, Kenya",,-1.300703,36.806466,http://gvrc.or.ke/,https://maps.google.com/?cid=12297744489434638358,4.3,(10),prenatal-postnatal,prenatal-postnatal,fallback_original,rejected,0.25,establishment; health; hospital; point_of_interest,[object Object]
St. Johns Community Centre,ChIJMxxV_DURLxgRpg_08ljJFUA,"Munyema St, Nairobi, Kenya",,-1.2825341,36.8452333,https://sjccpumwani.org/,https://maps.google.com/?cid=4617818376808697766,4.2,(154),prenatal-postnatal,prenatal-postnatal,fallback_original,rejected,0,establishment; point_of_interest,
Ladnan Hospital,ChIJQ2wfJOkQLxgR0rmpMkWFXhE,"Nairobi, Kenya",,-1.2699645,36.8408989,http://www.ladnan-hospital.com/,https://maps.google.com/?cid=1251584278704798162,3.8,(97),prenatal-postnatal,prenatal-postnatal,fallback_original,rejected,0.25,establishment; health; hospital; point_of_interest,[object Object]
Run AI Technologies Limited,ChIJCQlKgrMRLxgR5nZD8oeOsns,"Shop Number 206, Montana Mall, Gaborone Rd, Nairobi, Kenya",,-1.2836352,36.827328,https://www.runaitechnologies.com/,https://maps.google.com/?cid=8913343327055869670,5,(4),running,running,fallback_original,rejected,0.25,electronics_store; establishment; point_of_interest; store,[object Object]
The Running Game,ChIJ_wDO4uURLxgRfUP09OqC2Ww,"Standard St, Nairobi, Kenya",,-1.2852705,36.8214668,http://naiconnect.co.ke/,https://maps.google.com/?cid=7843444171686036349,,,running,running,fallback_original,rejected,0.25,establishment; point_of_interest,[object Object]
KmusiK Studios,ChIJ0T_r-xQZLxgRmTvsZ0DIuEg,"Salima Elegance, Red Hill Road, Kenya",,-1.2020342,36.760583,https://kmusikstudios.beatstars.com/,https://maps.google.com/?cid=5240158345392569241,4.7,(36),running,running,fallback_original,rejected,0,establishment; point_of_interest; store,
Kamavazi Studio,ChIJTQArCCA-LxgRTW4pqpT8z9s,"Roysambu, Lumumba Dr, Nairobi, Kenya",Roysambu,-1.2167329,36.8903387,https://studiokamavazi.pixieset.com/,https://maps.google.com/?cid=15839156129925525069,4.8,(56),running,running,fallback_original,rejected,0.25,establishment; point_of_interest,[object Object]
Nairobi Club,ChIJN5dgHcoRLxgR2zdjWbITEXc,"Ngong Rd, North, Kenya",Ngong,-1.2957864,36.8098476,http://www.nairobiclub.com/,https://maps.google.com/?cid=8579660421842286555,4.3,(3249),running,running,fallback_original,rejected,0.25,establishment; point_of_interest,[object Object]
Barrels and Stools Lounge,ChIJx6a0lEgXLxgRj73iO8fkBf0,"10 Lower Kabete Rd, Nairobi, Kenya",,-1.259599,36.8025443,https://instagram.com/barrelsandstools_ke?igshid=YmMyMTA2M2Y=,https://maps.google.com/?cid=18232230210833661327,4.4,(291),dance,dance,fallback_original,rejected,0.25,establishment; food; point_of_interest; restaurant,
Brew Bistro Fortis,ChIJr1BwBxQXLxgRTe46eDlWIq8,"Woodvale Groove, Westlands Fortis Tower, Nairobi, Kenya",Westlands,-1.264758,36.8042338,https://brewbistrokenya.co.ke/,https://maps.google.com/?cid=12619743910675803725,4.4,(5866),dance,dance,fallback_original,rejected,0,bar; establishment; food; point_of_interest; restaurant,
Brew Bistro and Lounge,ChIJE71F92saLxgR88vd58P_VBw,"671 Ngong Rd, Nairobi, Kenya",Ngong,-1.2992499,36.7655091,https://brewbistrokenya.co.ke/,https://maps.google.com/?cid=2041537747979455475,4.4,(3369),dance,dance,fallback_original,rejected,0,bar; establishment; food; point_of_interest; restaurant,
Nani's Wonderland,ChIJHe3g7CMPLxgR6f0X7IfEGcg,"Nairobi, Kenya",,-1.3924598,36.8180639,https://www.kitengela.com/products/experience-nani-s-wonderland,https://maps.google.com/?cid=14418771770063977961,4.5,(120),strength-training,strength-training,fallback_original,rejected,0.25,art_gallery; establishment; museum; point_of_interest,[object Object]
Brush Tu,ChIJ2ep2WwUULxgRxO8h5iqmldA,"379 Ol Leleshwa Rd, Nairobi, Kenya",,-1.2716204,36.8783187,http://www.brushtu.org/,https://maps.google.com/?cid=15030102034598719428,4.7,(74),strength-training,strength-training,fallback_original,rejected,0.25,establishment; point_of_interest,[object Object]
One Off Contemporary Art Gallery Ltd.,ChIJmxqy51Y9LxgRbefsvQNYfuY,"Rosslyn Lone Tree Estate, off Limuru Road, Nairobi City, Kenya",Rosslyn,-1.217529,36.7906373,http://www.oneoffcontemporaryart.com/,https://maps.google.com/?cid=16608809248883533677,4.5,(358),strength-training,strength-training,fallback_original,rejected,0.25,art_gallery; establishment; point_of_interest; tourist_attraction,
